train_id,train_name,train_type,zone,division,origin,destination,scheduled_duration_mins
T0001,Vadodara-Rajkot Superfast,Superfast,SR,Chennai,Vadodara,Rajkot,240
T0002,Lucknow-Ambala Mail/Express,Mail/Express,SR,Chennai,Lucknow,Ambala,180
T0003,Ambala-Mumbai Central Mail/Express,Mail/Express,WR,Ahmedabad,Ambala,Mumbai Central,720
T0004,Pune-Delhi Mail/Express,Mail/Express,SCR,Hyderabad,Pune,Delhi,240
T0005,Ahmedabad-Ranchi Mail/Express,Mail/Express,SCR,Vijayawada,Ahmedabad,Ranchi,180
T0006,Chakradharpur-CSMT Mumbai Shatabdi,Shatabdi,SR,Salem,Chakradharpur,CSMT Mumbai,180
T0007,Secunderabad-Trivandrum Passenger,Passenger,NER,Gorakhpur,Secunderabad,Trivandrum,600
T0008,Chennai-Lucknow Mail/Express,Mail/Express,CR,Nagpur,Chennai,Lucknow,720
T0009,Rajkot-Madurai Passenger,Passenger,WR,Rajkot,Rajkot,Madurai,480
T0010,Kharagpur-Asansol Superfast,Superfast,CR,Bhusawal,Kharagpur,Asansol,360
T0011,Chennai-Asansol Superfast,Superfast,SER,Ranchi,Chennai,Asansol,600
T0012,Pune-Rajkot Mail/Express,Mail/Express,WR,Ahmedabad,Pune,Rajkot,720
T0013,Lucknow-Garden Reach Mail/Express,Mail/Express,SER,Garden Reach,Lucknow,Garden Reach,480
T0014,Garden Reach-Ahmedabad Mail/Express,Mail/Express,CR,CSMT Mumbai,Garden Reach,Ahmedabad,720
T0015,Varanasi-Sealdah Passenger,Passenger,NER,Izzatnagar,Varanasi,Sealdah,360
T0016,CSMT Mumbai-Guntur Superfast,Superfast,ER,Sealdah,CSMT Mumbai,Guntur,600
T0017,Howrah-Izzatnagar Mail/Express,Mail/Express,SCR,Vijayawada,Howrah,Izzatnagar,180
T0018,Asansol-Guntur Mail/Express,Mail/Express,NR,Delhi,Asansol,Guntur,600
T0019,Varanasi-CSMT Mumbai Mail/Express,Mail/Express,SR,Salem,Varanasi,CSMT Mumbai,600
T0020,Pune-Ranchi Superfast,Superfast,NR,Delhi,Pune,Ranchi,180
T0021,Delhi-CSMT Mumbai Mail/Express,Mail/Express,CR,Bhusawal,Delhi,CSMT Mumbai,600
